total_result,temp,wind,total_line,away_rest,home_rest,avg_away_total_yards,avg_home_total_yards,avg_away_total_yards_against,avg_home_total_yards_against,away_total_offense_rank,home_total_offense_rank,away_total_defense_rank,home_total_defense_rank,elo1_pre,elo2_pre,elo_prob1,elo_prob2,qbelo1_pre,qbelo2_pre,qb1_value_pre,qb2_value_pre,qb1_adj,qb2_adj,total_team_elo,total_qb_elo,team_elo_diff,qb_elo_diff
Over,72,0,46.5,7,7,0.0,0.0,0.0,0.0,30,30,30,30,1464.398,1406.49,0.6698519044260006,0.3301480955739994,1472.55924564,1410.8941045,85.93926020459999,114.55903567152,0.703402308447,-0.620532479009,2883.45335014,0.082869829438,61.66514114000006,1.323934787456
Under,78,6,38.5,7,7,0.0,0.0,0.0,0.0,30,30,30,30,1298.931,1602.681,0.2019170649117878,0.7980829350882122,1349.86454437,1616.42737422,50.87172873552,83.61117099687,-7.52496863731,-2.7911828975,2966.29191859,-10.31615153481,266.56282985000007,4.733785739809999
Under,90,5,44.0,7,7,0.0,0.0,0.0,0.0,30,30,30,30,1530.606,1550.122,0.5650853436545622,0.4349146563454378,1507.85378855,1582.01617078,91.83656804751,146.51572955382,2.56079670163,13.5824697869,3089.86995933,16.143266488530003,74.16238223000005,11.02167308527
Over,72,0,46.5,7,7,0.0,0.0,0.0,0.0,30,30,30,30,1602.141,1434.633,0.7922305895967497,0.2077694104032502,1523.6776496,1473.49762223,92.88632571438,69.30391949514,-10.6141516413,-1.69590363946,2997.17527183,-12.31005528076,50.18002737000006,8.918248001839999
Over,71,5,36.0,7,7,0.0,0.0,0.0,0.0,30,30,30,30,1499.712,1574.305,0.4861980704214597,0.5138019295785403,1484.59475819,1589.90670173,27.227125117731,44.64081334548,-12.358860028,-4.64160250368,3074.50145992,-17.00046253168,105.3119435399999,7.717257524320001
Under,72,0,40.5,7,7,0.0,0.0,0.0,0.0,30,30,30,30,1388.151,1466.049,0.481446808156563,0.518553191843437,1419.01986095,1457.10365042,82.54151727755999,12.867309132678,8.21614993292,-18.2358250394,2876.12351137,-10.01967510648,38.08378946999983,26.45197497232
Under,80,3,40.0,7,7,0.0,0.0,0.0,0.0,30,30,30,30,1459.851,1428.216,0.6355903896141557,0.3644096103858443,1470.92851474,1448.23097811,85.14442160531999,31.466857000161,-3.4981805112,-9.46083087731,2919.15949285,-12.95901138851,22.69753663000006,5.96265036611
Under,74,8,37.0,7,7,0.0,0.0,0.0,0.0,30,30,30,30,1450.365,1493.97,0.5307510198889437,0.4692489801110563,1443.62436263,1520.95878241,67.30024167965999,62.15163965505,0.725886052818,-1.39257864277,2964.58314504,-0.666692589952,77.33441977999996,2.118464695588
Under,80,0,47.5,7,7,0.0,0.0,0.0,0.0,30,30,30,30,1537.928,1476.197,0.6747004311454187,0.3252995688545813,1605.3034128,1485.06186679,92.18219953932,147.42472333314,-0.964560551863,18.8470809511,3090.36527959,17.882520399237002,120.24154600999988,19.811641502963
Over,109,5,39.5,7,7,0.0,0.0,0.0,0.0,30,30,30,30,1508.805,1433.633,0.691447430656176,0.308552569343824,1500.69641822,1458.80807524,108.70252000113,74.45030092697999,4.21763435918,11.3054858865,2959.50449346,15.52312024568,41.88834297999984,7.08785152732
Under,77,5,44.0,7,7,0.0,0.0,0.0,0.0,30,30,30,30,1536.01,1565.587,0.5508018891407456,0.4491981108592544,1508.91844651,1532.42032569,104.02442437035,173.21966347356,0.191665481888,19.2889427424,3041.3387722,19.480608224288,23.50187918000006,19.097277260512
Under,89,13,36.0,7,7,0.0,0.0,0.0,0.0,30,30,30,30,1509.228,1510.17,0.591156293156925,0.408843706843075,1493.72780971,1503.94229998,22.833346627278,56.23886442108,-18.1884522726,-6.57549833901,2997.67010969,-24.76395061161,10.214490269999942,11.61295393359
Under,64,10,39.5,7,7,0.0,0.0,0.0,0.0,30,30,30,30,1529.383,1470.761,0.6707602221971268,0.3292397778028731,1529.17112781,1443.56032874,107.1154614354,-3.883176885984,5.84825201859,-21.8573580863,2972.73145655,-16.00910606771,85.61079906999998,27.70561010489
Under,73,10,40.0,7,7,0.0,0.0,0.0,0.0,30,30,30,30,1577.754,1614.931,0.5399551417487275,0.4600448582512725,1537.80961293,1603.930114,78.61446742017,146.93169939822,-9.10620447806,13.5484420508,3141.73972693,4.44223757274,66.12050107000005,22.65464652886
Over,72,0,48.5,7,7,0.0,0.0,0.0,0.0,30,30,30,30,1621.4,1544.882,0.6930980357417055,0.3069019642582945,1612.48813043,1562.91196665,157.57701035076,85.89076370193,20.3350655872,-0.300717235366,3175.40009708,20.034348351834,49.57616377999989,20.635782822566
Over,72,0,44.0,7,7,243.0,392.0,273.0,286.0,7,23,10,12,1580.578,1538.026,0.6500181705253429,0.349981829474657,1606.46699211,1536.28027966,148.69917326912997,101.02056857904,12.913334311,2.1396295158,3142.74727177,15.0529638268,70.18671245000019,10.7737047952
Over,82,5,36.5,7,7,420.0,339.0,256.0,229.0,26,17,9,7,1524.34,1613.772,0.4648973678218629,0.5351026321781371,1547.41168375,1629.18159711,68.7278745648,91.27989407394,2.56578066471,1.14884193155,3176.59328086,3.71462259626,81.76991335999992,1.41693873316
Over,81,8,38.5,7,7,214.0,303.0,379.0,205.0,6,13,22,5,1590.349,1517.99,0.6879820360899761,0.3120179639100239,1552.78985007,1491.98958481,75.23489939988,94.81851388844998,-10.3406782643,-4.42569144457,3044.77943488,-14.766369708869998,60.80026526000006,5.914986819729999
Under,74,5,40.5,7,14,256.0,0.0,420.0,0.0,8,1,26,1,1377.026,1287.84,0.7083876174733689,0.2916123825266311,1387.60015672,1337.11032148,47.92531325802,67.23250411613999,-9.49680697912,1.58924101359,2724.7104782,-7.907565965530001,50.48983524000005,11.08604799271
Under,72,0,42.5,7,7,315.0,376.0,155.0,443.0,16,21,2,28,1607.351,1534.479,0.6886155970730387,0.3113844029269613,1533.31323237,1521.26751454,111.41141622567,29.904071305284,-0.820898803487,-13.74366732,3054.58074691,-14.564566123487,12.04571782999983,12.922768516513
Over,77,6,39.5,7,7,395.0,436.0,361.0,202.0,24,27,20,4,1482.85,1472.361,0.6069595496097545,0.3930404503902455,1502.93319383,1483.81553169,76.13492313372,83.1506154798,11.5825226955,-3.77867560358,2986.74872552,7.80384709192,19.117662139999997,15.36119829908
Over,89,10,36.5,7,7,443.0,307.0,376.0,304.0,28,15,21,15,1591.652,1429.423,0.7871841997776925,0.2128158002223075,1604.76451854,1463.86203945,52.33962315582,103.76986631781,-0.560117473288,15.6218649538,3068.62655799,15.061747480512,140.90247908999982,16.181982427088
Under,80,13,38.5,7,7,286.0,205.0,392.0,303.0,11,5,23,14,1602.335,1500.151,0.7235997607643329,0.2764002392356671,1588.94987687,1483.40296722,129.37374841578,87.86537570811,2.87092958393,0.332995728221,3072.35284409,3.203925312151,105.54690965000007,2.5379338557090003
Over,84,10,47.0,7,6,359.0,457.0,345.0,521.0,19,29,18,30,1534.549,1478.138,0.667943376427552,0.332056623572448,1551.58487707,1485.89311021,107.58656525198998,96.34970770623,10.5361423474,5.87024817416,3037.47798728,16.40639052156,65.69176685999992,4.66589417324
Under,72,0,43.0,7,7,396.0,198.0,295.0,275.0,25,3,13,11,1481.456,1546.456,0.5,0.5,1475.73728276,1612.5572539,63.93189018974999,105.65999800653,29.0661482006,5.59863832647,3088.29453666,34.66478652707,136.81997114,23.46750987413
Over,76,8,35.5,7,7,275.0,273.0,198.0,243.0,10,9,3,8,1462.118,1372.744,0.7086111251764472,0.2913888748235528,1436.45117689,1400.38622861,-19.933981892583,67.22128959743999,-28.7898926853,0.110867462571,2836.8374055,-28.679025222729,36.06494827999995,28.900760147871
Over,55,3,46.0,6,7,521.0,155.0,457.0,315.0,30,2,29,17,1484.919,1631.733,0.3843892290366925,0.6156107709633075,1476.40259515,1623.81522001,31.37047151073,168.35180997822,-18.21279861,23.4848642899,3100.21781516,5.272065679899999,147.41262486000005,41.6976628999
Over,63,6,48.0,7,7,295.0,345.0,396.0,359.0,12,18,25,19,1392.749,1467.669,0.4857278505258757,0.5142721494741244,1397.56023993,1477.8080257,127.59971264238,137.00814682731,5.42695104346,11.767500095,2875.36826563,17.19445113846,80.24778576999984,6.340549051540001
Over,100,7,38.5,7,7,202.0,361.0,436.0,395.0,4,20,27,24,1415.706,1459.588,0.5303538732926971,0.4696461267073029,1435.34396116,1456.57129962,40.39203446355,141.56201236617,-3.67706963736,51.6552433998,2891.91526078,47.97817376244,21.227338460000052,55.33231303716
Under,72,5,39.5,8,8,304.0,379.0,307.0,214.0,14,22,16,6,1583.606,1482.365,0.7225127581009915,0.2774872418990085,1549.34918739,1469.73694138,168.21254531531997,35.28687294462,15.8207297059,-7.70371886353,3019.08612877,8.11701084237,79.61224601000004,23.52444856943
Under,63,3,48.5,7,7,288.5,378.5,438.5,371.0,7,21,25,18,1495.069,1456.945,0.6441974789917907,0.3558025210082093,1504.34690517,1465.47544709,155.20769901648,83.27251823385,19.4428564849,-0.964745963302,2969.82235226,18.478110521598,38.87145807999991,20.407602448202
Over,67,12,35.5,14,7,229.0,310.0,339.0,180.5,2,10,12,1,1331.876,1419.995,0.4667781035274094,0.5332218964725906,1377.6680531,1417.17146129,77.18998229481,66.03444264680999,6.99033422801,0.537193473594,2794.83951439,7.527527701604,39.50340819000007,6.453140754416
Over,72,0,34.5,7,7,324.5,227.0,327.5,372.5,12,1,11,19,1499.373,1606.072,0.4402768040185603,0.5597231959814397,1496.60092404,1622.59474862,52.83473811792,60.02954231736,22.4606847636,3.31284798105,3119.19567266,25.77353274465,125.99382457999992,19.14783678255
Under,67,9,42.5,7,7,353.0,261.5,391.0,325.5,16,4,21,10,1504.466,1447.997,0.6680174240521122,0.3319825759478878,1476.90099575,1466.92338102,105.91369026348,89.37938836958999,1.33884474476,17.6256291787,2943.82437677,18.96447392346,9.977614729999914,16.28678443394
Under,71,5,41.0,7,7,361.0,426.0,364.0,345.0,18,23,17,13,1598.77,1332.99,0.8703574275739053,0.1296425724260946,1614.37779109,1347.0424251,98.56448799054,24.575368793745,4.7031905242,-20.6969388623,2961.42021619,-15.9937483381,267.3353659900001,25.4001293865
Over,68,12,38.5,7,6,325.5,359.5,261.5,316.5,13,17,5,8,1587.183,1603.874,0.5690776444335317,0.4309223555664683,1553.04852255,1567.87843913,162.70177351659,83.86610353241998,12.2741211831,-5.5080422849,3120.92696168,6.7660788982,14.829916580000145,17.782163468
Over,72,0,55.5,7,7,371.0,502.0,378.5,250.5,19,26,20,4,1642.009,1365.35,0.8772613119071933,0.1227386880928067,1632.66226427,1371.02136046,183.90076308912,121.6594886595,28.9863345826,1.73199807173,3003.68362473,30.71833265433,261.6409038099998,27.25433651087
