"total_result","game_type","weekday","location","total_line","away_rest","home_rest","div_game","roof","surface","temp","wind","total_team_elo","total_qb_elo","home_total_offense_rank","home_total_defense_rank","away_total_defense_rank","away_total_offense_rank","off_def_diff"
"Over","REG","Sunday","Home",45.5,7,7,0,"outdoors","grass",61,8,2972.2523216,-38.97099675649,20,1,2,7,24
"Under","REG","Sunday","Home",37,7,7,0,"outdoors","astroturf",60,0,2831.49806319,-43.9382595803,16,8,22,25,11
"Over","REG","Sunday","Home",33,7,7,0,"outdoors","grass",90,7,3035.89124381,1.33436820721,26,8,12,30,36
"Under","REG","Sunday","Home",44,7,14,1,"dome","fieldturf",72,0,2952.65662615,-2.7932191171,20,24,30,29,-5
"Under","REG","Sunday","Home",48.5,8,8,1,"closed","fieldturf",72,0,2889.4233925,29.46055824109,9,27,22,26,-14
"Under","REG","Sunday","Home",46.5,7,6,0,"outdoors","grass",87,15,3002.52974671,8.59579560324,2,32,5,14,-21
"Over","REG","Sunday","Home",46.5,7,6,1,"outdoors","grass",59,5,3096.82257486,22.31849558944,5,17,25,15,-22
"Under","REG","Sunday","Home",48,8,8,1,"outdoors","fieldturf",48,7,3020.61478213,5.106347340267,9,6,28,8,-17
"Over","REG","Sunday","Home",44,7,14,0,"outdoors","grass",43,13,3047.34534063,11.42918083062,23,22,14,18,5
"Under","REG","Sunday","Home",47,14,6,0,"outdoors","fieldturf",54,4,2931.13402076817,6.29737084997163,16,26,13,7,-16
"Over","REG","Sunday","Home",50.5,7,7,1,"outdoors","grass",58,8,2976.50299734,42.9039206986,14,21,8,2,-13
"Over","REG","Sunday","Home",39.5,7,7,1,"outdoors","dessograss",54,5,2937.91462557,29.3681944094,23,2,10,16,27
"Over","REG","Sunday","Home",43.5,7,7,1,"closed","grass",72,0,3030.35660462,30.5024371816,6,10,26,30,0
"Over","REG","Sunday","Home",45.5,7,7,0,"outdoors","grass",53,15,2772.29401605,6.5100926033,14,23,8,20,3
"Over","REG","Thursday","Home",48.5,7,7,0,"outdoors","grass",83,7,3178.53804773,23.94800224516,32,32,32,32,0
"Under","REG","Sunday","Home",41,7,7,0,"outdoors","dessograss",62,10,3163.26988301,11.313863883472,19,1,11,3,10
"Over","REG","Sunday","Home",40.5,7,10,0,"closed","fieldturf",72,0,3253.95959912,-14.38471927782,7,18,13,21,-3
"Over","REG","Sunday","Home",49,7,6,1,"outdoors","grass",40,7,3001.98314618,-19.781113930633,5,16,9,32,12
"Over","REG","Sunday","Home",41.5,14,13,0,"outdoors","grass",46,9,2983.71024838,21.52332828683,14,10,22,15,-3
"Under","REG","Sunday","Home",43.5,7,7,0,"dome","fieldturf",72,0,2769.6928141,8.0422976401,26,21,10,8,3
"Over","REG","Sunday","Home",41.5,7,7,1,"outdoors","grass",76,5,2932.07887676377,-11.7572610723695,32,32,32,32,0
"Under","REG","Sunday","Home",47,14,7,0,"outdoors","grass",57,23,3083.87700424,9.9848860292,4,13,15,24,0
"Under","WC","Sunday","Home",44,7,7,0,"outdoors","grass",41,17,3097.24406063968,-0.169491270060419,5,4,8,1,-6
"Over","REG","Sunday","Home",33,7,7,0,"outdoors","grass",25,8,3125.35447963,14.98554475043,16,5,6,14,19
"Over","REG","Sunday","Home",41.5,14,7,1,"outdoors","grass",46,9,2970.68845867,29.11088719984,20,12,17,17,8
"Over","REG","Sunday","Home",39.5,8,7,0,"outdoors","astroturf",35,5,2986.65833186,3.7205183745,28,13,10,6,11
"Under","REG","Monday","Home",49,8,8,0,"dome","fieldturf",72,0,3048.29003204,-23.07837396192,3,31,17,29,-16
"Under","REG","Sunday","Home",47.5,7,7,1,"outdoors","astroturf",40,3,3008.93722835,23.38914932942,2,6,25,7,-22
"Over","REG","Thursday","Home",54,4,4,1,"outdoors","grass",39,5,3277.27561845,49.29708012228,1,18,7,6,-18
"Over","REG","Sunday","Home",53.5,7,7,0,"outdoors","astroturf",64,14,3069.44860191,50.049497039,3,10,17,1,-23
"Under","REG","Sunday","Home",47.5,7,7,0,"outdoors","fieldturf",78,11,2948.90371027,-4.47381320755,27,4,7,32,48
"Over","REG","Sunday","Home",45.5,7,7,0,"outdoors","grass",89,8,3111.00963811,15.5495681124,20,20,22,9,-13
"Under","REG","Sunday","Home",50.5,6,14,1,"outdoors","grass",64,7,2999.79151351,15.11543785339,12,19,18,11,-14
"Under","REG","Sunday","Home",48.5,7,7,0,"dome","fieldturf",72,0,3003.4502492,19.31751420502,4,23,3,9,-13
"Over","REG","Sunday","Home",42,7,14,1,"outdoors","grass",52,9,2965.68373378336,22.3582259752216,20,26,9,9,-6
"Under","REG","Sunday","Home",39,7,7,0,"dome","astroturf",72,0,3094.45254499,14.8357969775,27,28,21,24,2
"Under","REG","Sunday","Home",43,7,7,0,"closed","grass",72,0,3176.00975991,-1.30834728923,5,25,11,24,-7
"Under","REG","Sunday","Home",35.5,7,7,1,"outdoors","grass",34,12,2970.39159253,-61.4839458453,27,26,9,20,12
"Over","REG","Monday","Home",55,8,8,0,"outdoors","grass",77,5,3069.99350575,44.2277891125,2,9,25,1,-31
"Under","REG","Monday","Home",41.5,8,7,1,"outdoors","fieldturf",42,6,2906.56771372,19.433581065,31,11,30,15,5
"Over","REG","Sunday","Home",36.5,7,7,0,"outdoors","fieldturf",50,9,2873.41733001205,-50.8937546258143,27,8,5,23,37
"Over","REG","Sunday","Home",39,7,7,0,"outdoors","grass",78,8,2916.68290344,53.4068759878,6,4,22,22,2
"Under","REG","Sunday","Home",37,7,7,0,"outdoors","sportturf",46,10,3199.01406454,24.53726365917,21,26,6,29,18
"Under","REG","Sunday","Home",33.5,7,7,0,"outdoors","grass",83,10,3080.7914243,24.75039602485,30,30,30,30,0
"Under","REG","Sunday","Home",42,7,7,0,"dome","astroturf",72,0,2942.95837146,-16.15617534111,24,18,19,8,-5
"Over","REG","Sunday","Home",44,10,7,0,"outdoors","fieldturf",51,2,2920.42035271,11.13481258457,6,25,27,21,-25
"Over","REG","Sunday","Home",39.5,14,7,0,"outdoors","fieldturf",70,5,2931.19175328,21.10715499173,13,21,11,26,7
"Under","REG","Sunday","Home",48,13,6,0,"outdoors","fieldturf",36,8,3039.78580548,15.03929412173,6,11,12,17,0
"Under","REG","Sunday","Home",39.5,13,7,0,"dome","fieldturf",72,0,2822.48059449,-60.50168670661,28,2,21,21,26
"Over","REG","Sunday","Home",53,7,7,0,"closed","fieldturf",72,0,3016.26349192979,11.3563960111248,9,28,25,2,-42
"Under","REG","Sunday","Home",55.5,7,7,0,"dome","fieldturf",72,0,2965.69072596,24.7498417658,2,11,9,17,-1
"Under","REG","Sunday","Home",42.5,7,7,0,"dome","astroturf",72,0,2818.37557542,6.62240093282,15,9,17,20,9
"Under","REG","Sunday","Home",39.5,7,7,0,"outdoors","grass",67,10,2774.03251592,2.7109383018,32,13,2,30,47
"Under","REG","Sunday","Home",47,7,7,1,"outdoors","grass",34,18,2951.06906809,-35.1477439182,21,6,17,3,1
"Under","REG","Sunday","Home",44,7,7,0,"outdoors","fieldturf",63,9,2905.29769833,-4.113742934,20,14,1,9,14
"Under","REG","Monday","Home",38,8,8,0,"outdoors","grass",70,0,3026.5118061,-3.634546741173,8,26,8,3,-23
"Over","REG","Sunday","Home",43.5,7,6,0,"outdoors","fieldturf",69,0,2933.48481866,33.5291254652,18,19,14,9,-6
"Over","REG","Sunday","Home",48.5,7,7,0,"dome","fieldturf",72,0,2893.94017866981,2.14066370200717,13,29,22,12,-26
"Over","REG","Monday","Home",53,8,8,0,"outdoors","grass",37,10,3003.48457944,-55.501556731,14,31,12,1,-28
"Over","REG","Sunday","Home",50.5,7,7,1,"outdoors","grass",51,3,3065.50483675,34.11292297024,4,17,19,7,-25
"Over","REG","Sunday","Home",45.5,7,7,0,"outdoors","fieldturf",76,7,2889.15362992,11.68881627287,16,18,27,13,-16
"Over","REG","Sunday","Home",44,7,7,0,"outdoors","fieldturf",39,9,2866.17585562,10.2557646197,23,18,17,21,9
"Under","REG","Sunday","Home",41,7,7,0,"outdoors","grass",43,5,2887.07586441,1.9526332528,17,29,21,23,-10
"Under","REG","Sunday","Home",51,10,7,1,"outdoors","grass",77,18,3174.39753699,16.85484295429,26,6,5,1,16
"Under","REG","Sunday","Home",42,7,14,1,"open","grass",72,0,2964.04856454,40.6620407813,7,15,26,14,-20
"Under","REG","Sunday","Home",43.5,7,7,1,"outdoors","grass",19,14,3220.91045758,30.4718919153,8,29,19,27,-13
"Over","REG","Sunday","Home",41.5,7,7,0,"outdoors","grass",68,5,2716.72122425,-46.38139341019,17,15,23,25,4
"Under","REG","Saturday","Home",49.5,6,7,1,"outdoors","grass",42,10,3215.95864034,2.26498334485,1,24,28,4,-47
"Under","REG","Sunday","Home",43,7,7,0,"outdoors","fieldturf",53,0,2864.02144417,53.60823563991,17,31,21,16,-19
"Over","REG","Sunday","Home",48.5,7,7,1,"outdoors","grass",72,11,3046.50371997,13.46472327274,32,32,32,32,0
"Under","REG","Thursday","Home",46,4,4,0,"outdoors","fieldturf",69,0,3001.4291595,27.8580473323,10,15,22,31,4
"Over","REG","Sunday","Home",34.5,7,7,0,"outdoors","grass",50,7,3075.57489718,-23.613914790282,14,9,27,9,-13
"Under","REG","Sunday","Home",44,6,7,0,"outdoors","fieldturf",59,14,3022.65536778,13.27757668312,7,4,17,10,-4
"Over","REG","Sunday","Home",36,7,7,1,"outdoors","fieldturf",57,13,2903.12294295,-27.3912440138148,17,12,16,15,4
"Over","REG","Sunday","Home",49,14,14,1,"dome","astroturf",72,0,2774.96436536,54.7218004076,6,3,18,27,12
"Under","REG","Sunday","Home",35.5,14,7,1,"outdoors","astroturf",47,5,2911.26178642,15.4556300678,28,4,21,13,16
"Under","REG","Sunday","Home",41,7,7,0,"outdoors","grass",34,6,3008.44745514,37.217659341,22,5,2,13,28
"Under","REG","Monday","Home",45.5,8,15,1,"outdoors","grass",63,8,3106.29327102,11.53173997563,15,1,19,2,-3
"Under","REG","Sunday","Home",44,7,7,1,"outdoors","grass",61,5,2971.66359371,5.99912064962,30,30,32,8,-24
"Under","REG","Sunday","Home",57,7,7,0,"outdoors","grass",28,14,3348.64973562,62.7187062455,10,5,13,7,-1
"Under","REG","Sunday","Home",38,10,7,0,"outdoors","dessograss",22,16,3241.80395912,39.23434812744,23,27,2,9,3
"Under","REG","Sunday","Home",43.5,7,7,0,"outdoors","fieldturf",61,2,3056.47490992,12.40105358535,32,32,32,32,0
"Under","REG","Sunday","Home",41,7,7,1,"outdoors","grass",49,10,3055.72787471,-8.07768884,4,4,9,11,2
"Over","REG","Thursday","Home",49,4,4,1,"outdoors","grass",54,9,2971.44728331934,23.9555642107735,11,24,15,14,-14
"Over","REG","Sunday","Home",45,7,14,0,"outdoors","grass",68,9,3063.84671611,19.37205363238,1,5,18,22,0
"Over","REG","Sunday","Home",43.5,7,7,0,"outdoors","grass",74,3,2949.22100876,-39.57061180007,6,22,11,30,3
"Over","REG","Sunday","Home",38,6,14,0,"outdoors","grass",61,8,3092.90368385,14.24987093925,24,20,22,8,-10
"Under","REG","Sunday","Home",38,7,7,1,"outdoors","grass",62,12,3062.84491686,4.6594887217,20,18,5,18,15
"Over","REG","Sunday","Home",51.5,8,7,1,"outdoors","fieldturf",48,8,3069.82070286,-42.8370963152,12,8,22,4,-14
"Over","REG","Sunday","Home",37.5,6,7,0,"dome","fieldturf",72,0,2602.73099561,6.236775280026,25,25,21,32,11
"Over","REG","Sunday","Home",41,7,14,1,"outdoors","grass",48,9,2833.18217959027,2.76343218568558,25,5,26,20,14
"Over","REG","Monday","Home",45,15,11,0,"outdoors","grass",62,0,2826.19283276,-113.95915067174,12,10,6,14,10
"Under","REG","Sunday","Home",41.5,7,7,1,"outdoors","grass",78,8,2911.58028913,-17.4840190893,10,3,13,26,20
"Under","REG","Sunday","Home",38,7,14,0,"outdoors","grass",78,12,3008.98055766,-11.40766434689,11,6,8,24,21
"Over","REG","Sunday","Home",38.5,7,7,1,"outdoors","grass",76,8,3058.01420293,-1.64287284914,23,14,7,25,27
"Over","REG","Sunday","Home",37,7,7,0,"outdoors","fieldturf",52,13,2829.30448753,-6.8196264153,29,5,28,22,18
"Under","REG","Sunday","Home",37.5,7,7,0,"outdoors","grass",67,8,2938.48463546,32.076544914659,26,8,6,11,23
"Over","REG","Monday","Neutral",45.5,8,15,0,"outdoors","grass",63,6,3091.20121737,20.44714301504,4,5,13,26,12
"Under","REG","Sunday","Home",43,7,7,0,"dome","fieldturf",72,0,2967.01031572,12.05573968782,9,18,5,13,-1
"Under","REG","Sunday","Home",35,6,7,1,"outdoors","grass",64,10,3205.96122662,9.28607918198,17,22,18,7,-16
"Over","REG","Sunday","Home",56.5,10,7,0,"dome","astroturf",72,0,3177.29829418,19.821276898337,1,15,6,4,-16
"Under","REG","Saturday","Home",45,7,6,1,"outdoors","fieldturf",40,6,3079.04228718,-11.4603541307,4,9,8,22,9
"Over","REG","Sunday","Home",47.5,7,7,1,"outdoors","fieldturf",56,0,3048.95003305204,0.184947201445036,12,4,6,10,12
"Under","REG","Sunday","Home",35.5,7,7,0,"outdoors","grass",60,5,2914.50497959,-97.884593043487,13,7,8,23,21
"Over","REG","Sunday","Home",46.5,7,7,0,"dome","astroturf",72,0,3042.03704013,-7.3502163021,4,10,21,17,-10
"Under","REG","Saturday","Home",43,6,6,1,"outdoors","grass",38,7,2916.33495994,64.5190213582,28,30,24,12,-14
"Under","REG","Monday","Home",43,8,11,0,"outdoors","grass",21,4,3120.41517957,29.09693524176,3,10,26,13,-20
"Over","REG","Sunday","Home",45.5,6,7,1,"outdoors","grass",78,11,3000.88265182,29.36843453192,17,15,7,7,2
"Over","REG","Sunday","Home",44.5,10,7,1,"outdoors","grass",54,15,3064.41921988,8.7124746834,8,19,15,7,-19
"Under","REG","Sunday","Home",44.5,7,7,1,"dome","astroturf",72,0,3178.17769079,-33.3230285287,3,17,13,25,-2
"Under","REG","Sunday","Neutral",47.5,7,7,0,"outdoors","grass",52,10,2917.06760816,-0.29798125589,5,22,30,25,-22
"Over","REG","Sunday","Home",36.5,7,7,0,"outdoors","grass",40,9,3022.63319554,3.22566226491,11,30,3,27,5
"Over","REG","Sunday","Home",39,7,6,0,"dome","sportturf",72,0,3144.77818972,42.23231319771,26,19,10,22,19
"Over","REG","Sunday","Home",38.5,7,7,1,"outdoors","fieldturf",37,2,2985.89160148,6.89275994789,18,23,30,21,-14
"Over","REG","Sunday","Home",41,7,7,0,"outdoors","sportturf",41,5,3091.06012607,-123.5100217267,14,28,27,21,-20
"Under","REG","Monday","Home",56.5,8,8,0,"outdoors","grass",53,9,3072.14950026605,23.8450968020842,2,11,15,7,-17
"Under","REG","Sunday","Home",42.5,7,6,0,"outdoors","grass",70,15,3013.53326897,-6.440217246046,16,16,6,3,-3
"Over","REG","Sunday","Home",45,10,7,0,"outdoors","fieldturf",50,14,3097.33178048,18.59544416459,12,16,28,28,-4
"Under","REG","Sunday","Home",40,7,14,0,"outdoors","grass",56,17,2872.90843533,4.290237477591,16,7,10,13,12
"Over","REG","Sunday","Home",44,10,7,0,"outdoors","fieldturf",52,3,2978.96898633,-123.21629475204,17,13,10,22,16
"Over","REG","Thursday","Home",44.5,4,4,1,"outdoors","grass",64,4,2919.7192856,-39.55562030083,2,24,15,19,-18
"Under","REG","Sunday","Home",47,9,7,1,"outdoors","grass",57,2,3150.26220862188,15.5685323926193,20,6,28,11,-3
"Over","REG","Sunday","Home",40.5,7,7,0,"dome","fieldturf",72,0,2861.50253804,-11.30999253236,7,11,15,5,-14
"Over","REG","Sunday","Home",44,7,7,1,"outdoors","grass",64,6,2911.08769779,-45.5063699407,18,5,24,20,9
"Under","REG","Sunday","Home",41,7,7,1,"outdoors","fieldturf",16,16,2821.28088931,-13.25837577927,25,13,15,13,10
"Over","REG","Sunday","Home",42,7,7,1,"outdoors","grass",39,4,2687.81476701,4.4853345367,25,20,32,31,4
"Over","REG","Sunday","Home",51,7,7,1,"outdoors","grass",75,1,3171.43881028,27.63177143511,2,22,21,20,-21
"Over","REG","Sunday","Home",33.5,7,7,1,"outdoors","grass",20,10,2995.1260643,16.501963828,27,17,16,3,-3
"Over","REG","Sunday","Home",51.5,7,7,0,"dome","grass",72,0,3083.05716548635,14.6276793090456,16,1,17,15,13
"Under","REG","Sunday","Home",44.5,14,6,1,"dome","matrixturf",72,0,3132.66380901967,-22.6078003573422,6,13,19,13,-13
"Over","REG","Sunday","Home",45.5,7,7,0,"closed","matrixturf",72,0,3047.76928163,28.24885229838,9,18,7,19,3
"Under","REG","Sunday","Home",36.5,7,7,0,"outdoors","grass",85,6,3083.64996816,15.23402002233,21,6,1,9,23
"Over","REG","Sunday","Home",42.5,7,7,0,"dome","astroplay",72,0,2864.66471884,7.1397233446,27,27,17,1,-16
"Over","REG","Sunday","Home",41,7,7,0,"closed","grass",72,0,3046.05341897,-28.296484766431,32,32,32,32,0
"Over","REG","Sunday","Home",48.5,6,7,0,"outdoors","grass",56,4,3065.59272504,17.3419795163,12,31,28,11,-36
"Over","REG","Sunday","Home",49.5,7,7,1,"outdoors","grass",82,13,3094.27624922,12.819824427017,29,2,15,7,19
