total_line,temp,wind,total_qb_elo,team_elo_diff,qb_elo_diff,avg_home_total_yards,avg_away_total_yards,avg_home_total_yards_against,avg_away_total_yards_against,div_game,roof_closed,roof_dome,roof_open,roof_outdoors,surface_astroplay,surface_astroturf,surface_dessograss,surface_fieldturf,surface_grass,surface_matrixturf,surface_sportturf,total_result
46.5,72,0,0.082869829438,61.6651411400001,1.323934787456,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,0,0,0,0,0,Over
38.5,78,6,-10.31615153481,266.56282985,4.73378573981,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,1,0,0,Under
44.0,90,5,16.14326648853,74.16238223,11.02167308527,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,Under
46.5,72,0,-12.31005528076,50.1800273700001,8.91824800184,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,0,0,0,0,0,Over
36.0,71,5,-17.00046253168,105.31194354,7.71725752432,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,Over
40.5,72,0,-10.01967510648,38.0837894699998,26.45197497232,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,Under
40.0,80,3,-12.95901138851,22.6975366300001,5.96265036611,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,1,0,0,Under
37.0,74,8,-0.666692589952,77.33441978,2.118464695588,0.0,0.0,0.0,0.0,1,0,0,0,1,0,1,0,0,0,0,0,Under
47.5,80,0,17.882520399237,120.24154601,19.811641502963,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,Under
39.5,109,5,15.52312024568,41.8883429799998,7.08785152732,0.0,0.0,0.0,0.0,1,0,0,0,1,0,1,0,0,0,0,0,Over
44.0,77,5,19.480608224288,23.5018791800001,19.097277260512,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,Under
36.0,89,13,-24.76395061161,10.2144902699999,11.61295393359,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,Under
39.5,64,10,-16.00910606771,85.61079907,27.70561010489,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,1,0,0,Under
40.0,73,10,4.44223757274,66.12050107,22.65464652886,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,Under
48.5,72,0,20.034348351834,49.5761637799999,20.635782822566,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,Over
44.0,72,0,15.0529638268,70.1867124500002,10.7737047952,392.0,243.0,286.0,273.0,0,0,1,0,0,0,1,0,0,0,0,0,Over
36.5,82,5,3.71462259626,81.7699133599999,1.41693873316,339.0,420.0,229.0,256.0,1,0,0,0,1,0,0,0,0,1,0,0,Over
38.5,81,8,-14.76636970887,60.8002652600001,5.91498681973,303.0,214.0,205.0,379.0,0,0,0,0,1,0,1,0,0,0,0,0,Over
40.5,74,5,-7.90756596553,50.48983524,11.08604799271,0.0,256.0,0.0,420.0,1,0,0,0,1,0,0,0,0,1,0,0,Under
42.5,72,0,-14.564566123487,12.0457178299998,12.922768516513,376.0,315.0,443.0,155.0,0,0,1,0,0,0,1,0,0,0,0,0,Under
39.5,77,6,7.80384709192,19.11766214,15.36119829908,436.0,395.0,202.0,361.0,1,0,0,0,1,0,1,0,0,0,0,0,Over
36.5,89,10,15.061747480512,140.90247909,16.181982427088,307.0,443.0,304.0,376.0,1,0,0,0,1,0,0,0,0,1,0,0,Over
38.5,80,13,3.203925312151,105.54690965,2.537933855709,205.0,286.0,303.0,392.0,0,0,0,0,1,0,0,0,0,1,0,0,Under
47.0,84,10,16.40639052156,65.6917668599999,4.66589417324,457.0,359.0,521.0,345.0,0,0,0,0,1,0,0,0,0,1,0,0,Over
43.0,72,0,34.66478652707,136.81997114,23.46750987413,198.0,396.0,275.0,295.0,0,0,1,0,0,0,1,0,0,0,0,0,Under
35.5,76,8,-28.679025222729,36.06494828,28.900760147871,273.0,275.0,243.0,198.0,0,0,0,0,1,0,0,0,0,1,0,0,Over
46.0,55,3,5.2720656799,147.41262486,41.6976628999,155.0,521.0,315.0,457.0,0,0,0,0,1,0,0,0,1,0,0,0,Over
48.0,63,6,17.19445113846,80.2477857699998,6.34054905154,345.0,295.0,359.0,396.0,1,0,0,0,1,0,0,0,0,1,0,0,Over
38.5,100,7,47.97817376244,21.2273384600001,55.33231303716,361.0,202.0,395.0,436.0,1,0,0,0,1,0,0,0,0,1,0,0,Over
39.5,72,5,8.11701084237,79.61224601,23.52444856943,379.0,304.0,214.0,307.0,1,0,0,0,1,0,0,0,0,1,0,0,Under
48.5,63,3,18.478110521598,38.8714580799999,20.407602448202,378.5,288.5,371.0,438.5,1,0,0,0,1,0,0,0,0,1,0,0,Under
35.5,67,12,7.527527701604,39.5034081900001,6.453140754416,310.0,229.0,180.5,339.0,1,0,0,0,1,0,0,0,0,1,0,0,Over
34.5,72,0,25.77353274465,125.99382458,19.14783678255,227.0,324.5,372.5,327.5,1,0,1,0,0,0,1,0,0,0,0,0,Over
42.5,67,9,18.96447392346,9.97761472999991,16.28678443394,261.5,353.0,325.5,391.0,0,0,0,0,1,0,0,0,0,1,0,0,Under
41.0,71,5,-15.9937483381,267.33536599,25.4001293865,426.0,361.0,345.0,364.0,1,0,0,0,1,0,0,0,0,1,0,0,Under
