"total_result","total_line","roof","surface","temp","wind","div_game"
"Over",46.5,"dome","astroturf",72,0,1
"Under",38.5,"outdoors","grass",78,6,1
"Under",44,"outdoors","grass",90,5,0
"Over",46.5,"dome","astroturf",72,0,1
"Over",36,"outdoors","grass",71,5,0
"Under",40.5,"dome","astroturf",72,0,0
"Under",40,"outdoors","grass",80,3,1
"Under",37,"outdoors","astroturf",74,8,1
"Under",47.5,"outdoors","grass",80,0,0
"Over",39.5,"outdoors","astroturf",109,5,1
"Under",44,"outdoors","grass",77,5,0
"Under",36,"outdoors","grass",89,13,0
"Under",39.5,"outdoors","grass",64,10,1
"Under",40,"outdoors","astroturf",73,10,0
"Over",48.5,"dome","astroturf",72,0,0
"Over",44,"dome","astroturf",72,0,0
"Over",36.5,"outdoors","grass",82,5,1
"Over",38.5,"outdoors","astroturf",81,8,0
"Under",40.5,"outdoors","grass",74,5,1
"Under",42.5,"dome","astroturf",72,0,0
"Over",39.5,"outdoors","astroturf",77,6,1
"Over",36.5,"outdoors","grass",89,10,1
"Under",38.5,"outdoors","grass",80,13,0
"Over",47,"outdoors","grass",84,10,0
"Under",43,"dome","astroturf",72,0,0
"Over",35.5,"outdoors","grass",76,8,0
"Over",46,"outdoors","fieldturf",55,3,0
"Over",48,"outdoors","grass",63,6,1
"Over",38.5,"outdoors","grass",100,7,1
"Under",39.5,"outdoors","grass",72,5,1
"Under",48.5,"outdoors","grass",63,3,1
"Over",35.5,"outdoors","grass",67,12,1
"Over",34.5,"dome","astroturf",72,0,1
"Under",42.5,"outdoors","grass",67,9,0
"Under",41,"outdoors","grass",71,5,1
"Over",38.5,"outdoors","grass",68,12,1
"Over",55.5,"dome","astroturf",72,0,1
"Over",44,"outdoors","grass",79,9,1
"Under",42,"outdoors","grass",79,8,0
"Under",42.5,"outdoors","grass",70,15,0
"Under",40,"outdoors","fieldturf",68,3,0
"Under",34.5,"outdoors","grass",80,10,0
"Over",44,"outdoors","grass",66,8,1
"Over",55,"dome","astroturf",72,0,1
"Under",38,"outdoors","grass",70,5,1
"Under",37.5,"outdoors","grass",58,12,1
"Over",47,"outdoors","astroturf",64,20,0
"Under",34.5,"outdoors","grass",88,12,1
"Under",38,"dome","astroturf",72,0,0
"Over",36,"outdoors","astroturf",61,16,1
"Under",42,"outdoors","grass",87,6,0
"Over",43,"outdoors","grass",36,8,1
"Over",40.5,"outdoors","grass",76,5,0
"Under",36,"outdoors","grass",72,9,1
"Over",36,"outdoors","grass",82,9,0
"Under",42,"outdoors","grass",64,9,1
"Over",45,"dome","astroturf",72,0,0
"Under",44,"outdoors","astroturf",70,10,1
"Under",47.5,"outdoors","grass",71,14,0
"Under",37,"outdoors","grass",70,8,1
"Over",42.5,"dome","astroturf",72,0,1
"Under",38.5,"outdoors","grass",76,14,1
"Over",53.5,"dome","astroturf",72,0,0
"Over",38,"outdoors","grass",72,5,0
"Over",33,"outdoors","grass",76,6,0
"Over",41,"outdoors","grass",80,6,0
"Over",41,"outdoors","grass",72,12,1
"Under",47.5,"outdoors","grass",72,10,0
"Over",36,"outdoors","grass",68,6,0
"Over",41.5,"outdoors","astroturf",68,8,0
"Over",38.5,"outdoors","grass",74,8,1
"Over",40,"outdoors","grass",47,16,0
"Under",38,"outdoors","grass",44,10,1
"Over",43,"dome","astroturf",72,0,1
"Under",43.5,"outdoors","grass",55,20,1
"Under",37.5,"outdoors","grass",54,10,0
"Under",37.5,"outdoors","astroturf",49,10,1
"Over",40.5,"outdoors","grass",87,15,0
"Under",42,"dome","astroturf",72,0,0
"Under",43,"outdoors","grass",50,8,0
"Under",43,"outdoors","grass",68,7,1
"Over",48.5,"outdoors","grass",66,10,0
"Under",37.5,"outdoors","grass",62,11,1
"Over",39,"dome","astroturf",72,0,1
"Over",36.5,"outdoors","astroturf",63,7,0
"Under",43.5,"outdoors","grass",62,8,1
"Under",40.5,"dome","astroturf",72,0,1
"Under",40.5,"outdoors","grass",75,7,1
"Under",37,"outdoors","astroturf",61,0,1
"Over",58.5,"dome","astroturf",72,0,1
"Under",34.5,"outdoors","grass",75,0,0
"Over",39,"outdoors","grass",80,3,1
"Over",44,"outdoors","grass",59,7,0
"Over",37,"outdoors","grass",76,10,1
"Over",44,"outdoors","fieldturf",45,10,0
"Over",49.5,"outdoors","grass",54,4,0
"Under",44,"outdoors","grass",56,7,1
"Over",38,"outdoors","grass",74,6,1
"Over",37.5,"outdoors","grass",76,5,1
"Over",47,"dome","astroturf",72,0,1
"Under",40,"dome","astroturf",72,0,1
"Under",35,"outdoors","grass",64,10,1
"Under",50,"outdoors","grass",76,7,1
"Over",43,"outdoors","grass",73,2,0
"Over",41.5,"outdoors","astroturf",70,10,1
"Over",56,"outdoors","grass",64,14,0
"Over",44.5,"dome","astroturf",72,0,0
"Under",41,"outdoors","astroturf",59,10,0
"Under",44,"outdoors","grass",70,31,1
"Under",37.5,"outdoors","astroturf",75,0,1
"Over",36,"outdoors","grass",79,15,0
"Over",35,"outdoors","grass",51,3,1
"Under",45.5,"dome","astroturf",72,0,1
"Under",33,"outdoors","grass",53,15,1
"Over",41,"outdoors","astroturf",46,6,1
"Under",35.5,"outdoors","grass",50,5,1
"Over",47,"dome","astroturf",72,0,0
"Over",38.5,"outdoors","grass",81,13,0
"Over",41,"outdoors","grass",82,7,1
"Under",41,"outdoors","grass",70,9,0
"Under",37,"outdoors","grass",45,18,1
"Under",63,"outdoors","grass",60,13,1
"Under",44.5,"outdoors","astroturf",72,10,0
"Under",43,"outdoors","fieldturf",52,5,1
"Under",42.5,"outdoors","grass",63,8,1
"Over",37.5,"outdoors","grass",54,9,0
"Over",40,"dome","astroturf",72,0,0
"Over",45,"outdoors","grass",57,12,0
"Over",32.5,"outdoors","grass",57,5,1
"Under",33.5,"outdoors","grass",49,6,0
"Under",39,"dome","astroturf",72,0,0
"Under",39,"outdoors","grass",46,20,1
"Under",48,"dome","astroturf",72,0,1
"Under",40,"outdoors","astroturf",52,18,1
"Under",36.5,"outdoors","grass",56,9,1
"Under",40,"outdoors","grass",65,8,1
"Over",45.5,"outdoors","grass",51,20,0
"Over",44,"outdoors","grass",66,7,1
"Under",39.5,"outdoors","fieldturf",48,8,1
"Under",59.5,"dome","astroturf",72,0,1
"Under",47.5,"outdoors","grass",50,19,1
"Under",39.5,"outdoors","astroturf",40,10,0
"Under",37.5,"outdoors","grass",57,3,1
"Under",39,"outdoors","astroturf",50,15,0
"Under",40,"dome","astroturf",72,0,0
"Over",40.5,"outdoors","grass",69,5,0
"Under",46,"dome","astroturf",72,0,0
"Over",33,"outdoors","astroturf",47,7,0
"Over",33,"outdoors","grass",56,3,1
"Under",32,"outdoors","grass",44,6,0
"Under",33.5,"outdoors","grass",63,7,0
"Under",52,"outdoors","grass",54,0,0
"Over",48.5,"outdoors","grass",54,8,0
"Under",42,"outdoors","grass",75,7,1
"Under",52.5,"dome","astroturf",72,0,1
"Over",50,"outdoors","grass",20,3,1
"Under",36,"outdoors","grass",37,15,1
"Over",46,"outdoors","grass",27,8,0
"Under",42,"outdoors","grass",46,15,0
"Over",46.5,"dome","astroturf",72,0,0
"Under",36,"outdoors","grass",47,15,0
"Over",43,"dome","astroturf",72,0,0
"Over",36.5,"outdoors","grass",40,9,0
"Over",38,"outdoors","astroturf",39,10,1
"Under",35.5,"outdoors","grass",44,6,1
"Over",42.5,"outdoors","grass",39,13,1
"Under",38.5,"outdoors","grass",83,12,1
"Under",36,"outdoors","grass",43,3,0
"Under",47.5,"outdoors","grass",57,3,1
"Over",37,"outdoors","astroturf",35,6,1
"Under",56,"dome","astroturf",72,0,0
"Over",38,"dome","astroturf",72,0,0
"Under",48,"outdoors","astroturf",55,0,0
"Over",34,"outdoors","grass",55,7,1
"Over",34,"outdoors","grass",46,12,1
"Under",39.5,"outdoors","grass",53,6,0
"Over",53.5,"dome","astroturf",72,0,1
"Over",37,"outdoors","grass",67,5,0
"Over",37,"outdoors","grass",50,5,1
"Over",44,"outdoors","grass",57,8,0
"Under",44.5,"dome","astroturf",72,0,1
"Under",41.5,"outdoors","grass",62,7,1
"Under",41,"outdoors","grass",69,8,1
"Over",45.5,"outdoors","fieldturf",48,9,1
"Under",39,"outdoors","grass",64,3,1
"Over",44,"outdoors","grass",46,3,0
"Under",48.5,"dome","astroturf",72,0,1
"Under",42,"dome","astroturf",72,0,0
"Over",36,"outdoors","astroturf",27,6,1
"Under",58,"outdoors","grass",34,16,1
"Under",38.5,"outdoors","grass",32,12,0
"Over",45,"dome","astroturf",72,0,0
"Under",36.5,"outdoors","astroturf",30,7,0
"Under",42,"outdoors","astroturf",33,5,0
"Under",37,"outdoors","grass",63,12,0
"Under",38,"outdoors","grass",30,14,1
"Over",44,"outdoors","grass",66,9,0
"Over",39,"outdoors","grass",46,10,1
"Under",44,"outdoors","grass",35,5,1
"Under",39,"outdoors","grass",33,6,1
"Over",41,"outdoors","grass",45,10,0
"Under",36.5,"outdoors","grass",39,2,0
"Over",36.5,"outdoors","grass",36,12,0
"Over",35.5,"outdoors","grass",33,6,0
"Under",41,"outdoors","grass",25,13,1
"Over",42,"outdoors","grass",61,6,0
"Under",42,"outdoors","grass",34,14,0
"Under",34.5,"outdoors","grass",73,5,0
"Over",35.5,"outdoors","grass",37,7,0
"Over",36,"outdoors","grass",52,7,1
"Over",48,"outdoors","grass",22,10,1
"Over",39,"outdoors","astroturf",66,0,1
"Over",47.5,"outdoors","grass",55,13,1
"Over",56.5,"dome","astroturf",72,0,0
"Under",47,"outdoors","grass",54,9,0
"Over",45,"dome","astroturf",72,0,1
"Under",37.5,"outdoors","astroturf",44,0,0
"Over",47.5,"outdoors","fieldturf",52,21,1
"Under",39,"outdoors","astroturf",35,25,1
"Over",38.5,"outdoors","grass",36,15,0
"Under",42.5,"outdoors","grass",9,20,1
"Under",37,"outdoors","grass",20,35,1
"Under",47,"outdoors","grass",9,6,1
"Over",49,"dome","astroturf",72,0,1
"Under",41,"dome","astroturf",72,0,1
"Under",39.5,"outdoors","grass",63,20,0
"Under",45.5,"outdoors","grass",58,6,0
"Under",37.5,"outdoors","grass",68,3,0
"Under",42,"outdoors","grass",81,0,1
"Under",36,"outdoors","astroturf",41,5,1
"Over",49,"outdoors","grass",49,5,0
"Over",37.5,"outdoors","grass",23,12,0
"Under",48.5,"outdoors","grass",45,7,0
"Over",42.5,"outdoors","fieldturf",41,3,0
"Over",40.5,"dome","astroturf",72,0,0
"Over",35.5,"outdoors","grass",36,5,0
"Over",37,"dome","astroturf",72,0,1
"Under",38,"outdoors","grass",15,15,1
"Over",35,"outdoors","grass",31,10,1
"Under",56,"dome","astroturf",72,0,1
"Under",35,"outdoors","astroturf",31,7,0
"Under",38.5,"outdoors","grass",34,7,1
"Over",37.5,"outdoors","grass",62,8,0
"Under",53.5,"dome","astroturf",72,0,0
"Over",45.5,"outdoors","grass",56,8,0
