"game_type","weekday","location","total_line","away_rest","home_rest","div_game","roof","surface","temp","wind","total_team_elo","total_qb_elo","home_total_offense_rank","home_total_defense_rank","away_total_defense_rank","away_total_offense_rank","off_def_diff"
"REG","Sunday","Home",41,7,7,1,"outdoors","grass",44,14,2949.66141136,22.792265783235,32,5,10,12,29
"REG","Sunday","Home",45.5,7,10,1,"outdoors","grass",36,27,2796.73900483,7.2197162105,24,10,27,10,-3
"REG","Sunday","Home",47.5,7,7,0,"open","grass",72,0,2779.24346644,-19.9617796156,5,21,17,24,-9
"REG","Sunday","Home",44.5,7,7,1,"closed","grass",72,0,3074.06975484,32.0431181171,9,15,29,25,-10
"REG","Sunday","Home",49.5,7,6,1,"dome","sportturf",72,0,3185.61755731,23.51575766719,22,21,21,8,-12
"REG","Sunday","Home",44,7,7,0,"outdoors","grass",55,8,2981.04427321,23.58003282818,4,1,12,9,0
"REG","Sunday","Home",43.5,7,6,0,"outdoors","fieldturf",80,0,2971.52689785,-1.78112955972,7,6,5,9,5
"REG","Sunday","Home",51,7,7,1,"open","fieldturf",72,0,3117.06115366105,-5.9730878502052,12,14,27,9,-20
"REG","Sunday","Home",42.5,7,7,0,"outdoors","fieldturf",55,1,3110.80369078,-5.89614559134,28,28,14,21,7
"REG","Sunday","Home",43,7,7,0,"outdoors","grass",25,5,3157.20403188,15.79229817741,9,23,32,4,-42
"REG","Sunday","Home",47.5,6,7,1,"outdoors","fieldturf",52,3,2971.66591099,33.54931684818,31,24,17,3,-7
"REG","Sunday","Home",39,7,7,0,"dome","fieldturf",72,0,2778.06654917,-2.302858266227,32,32,32,32,0
"REG","Sunday","Home",47.5,6,10,1,"outdoors","grass",36,4,2920.71321811,-19.95929549307,30,27,16,4,-9
"REG","Sunday","Home",43,7,7,1,"outdoors","grass",45,2,3087.00049994,-33.6236164198,23,27,14,14,-4
"REG","Monday","Home",43.5,8,8,1,"outdoors","grass",70,8,3004.8437301,-2.984122012804,20,3,27,26,16
"REG","Sunday","Home",41.5,7,7,0,"outdoors","fieldturf",61,8,3015.2689113,35.03239980996,14,25,20,27,-4
"DIV","Saturday","Home",33.5,6,13,0,"outdoors","grass",53,11,3289.29086333,-6.31644299814,8,2,6,6,6
"DIV","Saturday","Home",54.5,7,13,0,"outdoors","grass",32,13,3228.48183864,55.9514792556,1,2,6,4,-3
"CON","Sunday","Home",56.5,7,8,0,"outdoors","grass",19,14,3300.12810888,29.28783357543,1,4,3,3,-3
"REG","Sunday","Home",46.5,14,7,0,"dome","fieldturf",72,0,2884.01966375,20.49672400779,7,13,24,25,-5
"REG","Sunday","Home",48.5,7,7,0,"outdoors","grass",48,12,3108.31837551,96.0965780397,26,16,23,17,4
"REG","Sunday","Home",42,7,7,0,"outdoors","grass",61,6,2822.01988308,-46.73643544396,6,1,4,23,24
"REG","Sunday","Home",36.5,7,14,0,"outdoors","grass",39,2,2885.62226409,-17.7160261905,11,2,26,22,5
"REG","Sunday","Home",43.5,7,7,0,"dome","fieldturf",72,0,2985.5915675,18.25174334278,32,32,32,32,0
"REG","Sunday","Home",37.5,7,7,1,"outdoors","grass",81,16,2935.53279499,-8.1793413602,27,26,4,7,4
"REG","Sunday","Home",52.5,7,7,0,"outdoors","grass",79,7,2829.2578376,2.628774927543,2,21,22,12,-29
"REG","Sunday","Home",44.5,7,7,0,"dome","astroturf",72,0,3099.77834718,5.62645678736,2,21,1,6,-14
"REG","Sunday","Home",55,7,7,0,"open","fieldturf",72,0,3191.67555385,28.8996972689,7,18,6,5,-12
"REG","Sunday","Home",49,7,7,1,"outdoors","fieldturf",63,8,3212.25987815,67.9358498751,8,8,7,2,-5
"REG","Sunday","Home",43,7,7,1,"outdoors","fieldturf",51,7,3069.29896254,22.78341916336,19,3,31,21,6
"REG","Monday","Home",37,8,15,1,"outdoors","grass",58,3,2942.67264751,-31.33313448471,22,29,24,31,0
"REG","Sunday","Home",43,7,7,0,"outdoors","grass",52,0,2958.48768689,46.1060596267,13,9,18,9,-5
"REG","Sunday","Home",38.5,7,7,1,"outdoors","grass",81,6,2912.4260766,-33.7253614402,29,8,1,8,28
"REG","Sunday","Home",40,14,7,1,"outdoors","grass",46,12,2877.00133951,-10.43954215102,26,14,10,16,18
"REG","Sunday","Home",37,14,7,0,"outdoors","grass",75,0,2909.24081126,37.04007912116,25,12,3,9,19
"REG","Monday","Home",54,8,8,0,"outdoors","fieldturf",72,8,3201.4818813,48.3786313573,4,18,1,1,-14
"REG","Sunday","Home",37,7,7,0,"outdoors","astroturf",40,17,2966.0885857709,-64.9723605471617,17,5,21,22,13
"REG","Thursday","Home",41.5,4,4,1,"outdoors","grass",36,10,3085.38850232907,-96.3397684595758,17,8,18,24,15
"REG","Sunday","Home",42,7,7,1,"outdoors","grass",67,15,2848.6262005,8.69248545993,25,14,21,23,13
"REG","Sunday","Home",46,7,7,0,"open","fieldturf",78,4,2985.79558895342,2.96252668801286,21,8,2,22,33
"REG","Sunday","Home",43,10,7,0,"dome","astroplay",72,0,2786.37569746,-1.17603294749,26,12,10,32,36
"REG","Sunday","Home",48.5,7,7,1,"outdoors","grass",66,6,3064.63812440272,1.05699133363133,32,32,32,32,0
"REG","Thursday","Home",49,4,4,0,"outdoors","grass",75,3,3012.99494506,25.6752612934,8,29,4,2,-23
"REG","Sunday","Home",46,7,7,0,"outdoors","grass",91,8,2974.83465167,-4.3796290244558,15,31,27,20,-23
"REG","Sunday","Home",36.5,7,6,0,"dome","matrixturf",72,0,2853.36754465866,-85.1772882602027,31,18,12,25,26
"REG","Sunday","Home",45,7,10,0,"outdoors","grass",56,4,2749.71227044,47.7830300008,30,11,5,14,28
"REG","Sunday","Home",41,7,6,1,"outdoors","dessograss",64,4,3203.86739339,39.5162158452,6,12,20,11,-15
"REG","Sunday","Home",46.5,7,7,1,"open","grass",62,5,2986.34185774,-73.25876265841,6,24,21,26,-13
"REG","Sunday","Home",43.5,14,7,0,"outdoors","grass",74,6,2928.2648844,-65.67324163413,18,28,12,25,3
"REG","Sunday","Home",41,14,6,0,"outdoors","grass",69,0,3194.98281371,0.0249895025000004,21,10,11,15,15
"REG","Monday","Home",41.5,8,15,0,"outdoors","grass",57,14,3040.79806691,-123.1544408747,8,32,9,22,-11
"REG","Sunday","Home",40.5,7,7,0,"outdoors","astroplay",53,6,3056.40929869,-1.609317593695,22,14,26,9,-9
"REG","Sunday","Home",41.5,14,7,0,"dome","astroplay",72,0,2826.54195622,13.95717303037,20,18,16,21,7
"REG","Sunday","Home",43,7,7,1,"outdoors","fieldturf",43,3,3133.36715801,6.2533133799,10,17,26,28,-5
"REG","Sunday","Home",38,7,7,1,"outdoors","astroplay",30,15,3012.04182246,-10.11736056736,28,15,2,9,20
"REG","Sunday","Home",35,7,7,1,"dome","fieldturf",72,0,3105.53684829,-55.9216970784,26,10,17,31,30
"REG","Sunday","Home",47,7,7,1,"outdoors","grass",40,11,3130.85339522,39.32387080981,28,22,31,4,-21
"WC","Sunday","Home",40,7,7,1,"outdoors","fieldturf",30,4,3222.37566327381,-72.9760780754257,4,8,11,12,-3
"REG","Sunday","Home",52,7,7,1,"closed","matrixturf",72,0,3056.32265022,19.55898984333,32,32,32,32,0
"REG","Sunday","Home",42,7,7,0,"closed","grass",72,0,2972.39577383,-41.13690803593,18,29,22,22,-11
"WC","Sunday","Home",43.5,7,7,0,"outdoors","fieldturf",20,12,3206.82917044,-4.11172988111,2,6,1,5,0
"REG","Sunday","Home",42.5,7,7,0,"outdoors","fieldturf",61,7,3014.19645927,29.80760057067,14,22,14,17,-5
"REG","Monday","Home",42.5,8,8,0,"dome","astroturf",72,0,3047.44447586,-28.2505001126,3,17,12,23,-3
"REG","Monday","Home",35,15,8,1,"outdoors","grass",51,3,3155.75560872,-15.30550568609,20,6,2,27,39
